Feature,Invalid
COD_WL,0.0
COD_OSTXT_WL,0.0
NUM_PREV_TX,0.0
MELD_DIFF_REASON_CD,0.0
GENDER,0.0
ABO,0.0
WGT_KG_TCR,0.0
HGT_CM_TCR,0.0
BMI_TCR,0.0
CITIZEN_COUNTRY,0.0
EDUCATION,0.0
LIFE_SUP_TCR,0.0
OTH_LIFE_SUP_OSTXT_TCR,0.0
FUNC_STAT_TCR,0.0
PRI_PAYMENT_TCR,0.0
DGN_TCR,0.0
DGN_OSTXT_TCR,0.0
DGN2_TCR,0.0
DGN2_OSTXT_TCR,0.0
DIAB,0.0
MALIG_TCR,0.0
HCC_DIAGNOSIS_TCR,0.0
NEOADJUVANT_THERAPY_TCR,0.0
INIT_STAT,0.0
INIT_WGT_KG,0.0
INIT_HGT_CM,0.0
REM_CD,0.0
DAYSWAIT_CHRON,0.0
END_STAT,0.0
INIT_AGE,0.0
DEATH_DATE,0.0
END_DATE,0.0
INIT_DATE,0.0
EXC_DIAG_ID,0.0
EXC_OTHER_DIAG,0.0
HCC_EVER_APPR,0.0
EXC_HCC,0.0
EXC_CASE,0.0
INIT_BMI_CALC,0.0
END_BMI_CALC,0.0
WLHR,0.0
WLHL,0.0
WLIN,0.0
WLKI,0.0
WLKP,0.0
WLLI,0.0
WLLU,0.0
WLPA,0.0
WLPI,0.0
PERM_STATE,0.0
CITIZENSHIP,0.0
WL_ID_CODE,0.0
PREV_AB_SURG_TCR,0.0
BACT_PERIT_TCR,0.0
PORTAL_VEIN_TCR,0.0
TIPSS_TCR,0.0
YR_ENTRY_US_TCR,0.0
WORK_INCOME_TCR,0.0
ACADEMIC_PRG_TCR,0.0
ACADEMIC_LEVEL_TCR,0.0
PRI_PAYMENT_CTRY_TCR,0.0
ENCEPH_TCR,0.0
ASCITES_TCR,0.0
MUSCLE_WAST_TCR,0.0
INOTROPES,0.0
VAD_TAH,0.0
IABP,0.0
PGE,0.0
ECMO,0.0
INIT_ALBUMIN,0.0
INIT_ASCITES,0.0
INIT_BILIRUBIN,0.0
INIT_DIALYSIS_PRIOR_WEEK,0.0
INIT_ENCEPH,0.0
INIT_INR,0.0
INIT_MELD_OR_PELD,0.0
INIT_MELD_PELD_LAB_SCORE,0.0
INIT_SERUM_CREAT,0.0
INIT_SERUM_SODIUM,0.0
INIT_CTP_SCORE,0.0
FINAL_ALBUMIN,0.0
FINAL_ASCITES,0.0
FINAL_BILIRUBIN,0.0
FINAL_DIALYSIS_PRIOR_WEEK,0.0
FINAL_ENCEPH,0.0
FINAL_INR,0.0
FINAL_MELD_OR_PELD,0.0
FINAL_MELD_PELD_LAB_SCORE,0.0
FINAL_SERUM_CREAT,0.0
FINAL_SERUM_SODIUM,0.0
FINAL_CTP_SCORE,0.0
TX_DATE,0.0
TX_PROCEDUR_TY,0.0
ACADEMIC_LEVEL_TRR,0.0
ACADEMIC_PRG_TRR,0.0
FUNC_STAT_TRR,0.0
MED_COND_TRR,0.0
PRI_PAYMENT_TRR,0.0
PRI_PAYMENT_CTRY_TRR,0.0
PERM_STATE_TRR,0.0
WORK_INCOME_TRR,0.0
MALIG_TRR,0.0
MALIG_OSTXT_TRR,0.0
MALIG_TY_TRR,0.0
LIFE_SUP_TRR,0.0
ON_VENT_TRR,0.0
ARTIFICIAL_LI_TRR,0.0
OTH_LIFE_SUP_TRR,0.0
PORTAL_VEIN_TRR,0.0
PREV_AB_SURG_TRR,0.0
TIPSS_TRR,0.0
ACUTE_REJ_EPI,0.0
HBV_CORE,0.0
HBV_SUR_ANTIGEN,0.0
HCV_SEROSTATUS,0.0
EBV_SEROSTATUS,0.0
HIV_SEROSTATUS,0.0
CMV_STATUS,0.0
HBV_SURF_TOTAL,0.0
HCC_DIAG,0.0
CMV_IGG,0.0
CMV_IGM,0.0
COD,0.0703167009058
COD_OSTXT,0.0
COD2,0.0151663472542
COD2_OSTXT,0.0
COD3,0.00413627652387
COD3_OSTXT,0.0
GSTATUS,0.0
GTIME,0.0
PSTATUS,0.0
PTIME,0.0
PX_STAT,0.0
FUNC_STAT_TRF,0.0
PRVTXDIF,0.0
RETXDATE,0.0
TXHRT,0.0
TXINT,0.0
TXKID,0.0
TXLIV,0.0
TXLNG,0.0
TXPAN,0.0
CLSTR_OLD,0.0
CLSTRTYP_OLD,0.0
HBEAB_OLD,0.0
HEPD_OLD,0.0
MRCREATG_OLD,0.0
PREV_PI_TX_TCR_ARCHIVE,0.0
TOT_SERUM_ALBUM,0.0
PREV_MALIG_TY,0.00965131188904
PREV_MALIG_TY_OSTXT,0.0
AMIS,0.0
BMIS,0.0
DRMIS,0.0
HLAMIS,0.0
DA1,0.0
DA2,0.0
DB1,0.0
DB2,0.0
DDR1,0.0
DDR2,0.0
RA1,0.0
RA2,0.0
RB1,0.0
RB2,0.0
RDR1,0.0
RDR2,0.0
PREV_TX,0.0
TRTREJ6M,0.0
TRTREJ1Y,0.0
AGE_DON,0.0
DDAVP_DON,0.0
CMV_OLD_LIV_DON,0.0
CMV_DON,0.0
CMV_TEST_DON,0.0
EBV_TEST_DON,0.0
HBV_TEST_DON,0.0
HCV_TEST_DON,0.0
CMV_NUCLEIC_DON,0.0
CMV_IGG_DON,0.0
HEP_C_ANTI_DON,0.0
HBV_CORE_DON,0.0
HBV_SUR_ANTIGEN_DON,0.0
CITIZENSHIP_DON,0.810710198679
CMV_IGM_DON,0.0
COD_CAD_DON,0.0
DEATH_CIRCUM_DON,0.0
DEATH_MECH_DON,0.0
ETHCAT_DON,0.0165451060955
DON_TY,0.0
GENDER_DON,0.0
HOME_STATE_DON,0.0
WARM_ISCH_TM_DON,0.0
RECOVERY_DATE_DON,0.0
DIABDUR_DON,0.0
HCV_RIBA_DON,0.0
HCV_ANTIBODY_DON,0.0
HBV_DNA_DON,0.0
HCV_RNA_DON,0.0
LIV_DON_TY,0.0
LIV_DON_TY_OSTXT,0.0
COD_OSTXT_DON,0.0
CORE_COOL_DON,0.0
NON_HRT_DON,0.0
ANTIHYPE_DON,0.0
BLOOD_INF_DON,0.0
BLOOD_INF_CONF_DON,0.0
BUN_DON,0.0
CREAT_DON,0.0
DOBUT_DON_OLD,0.0
DOPAMINE_DON_OLD,0.0
HTLV1_OLD_DON,0.0
HTLV2_OLD_DON,0.0
OTH_DON_MED1_OSTXT_DON_OLD,0.0
OTH_DON_MED2_OSTXT_DON_OLD,0.0
OTH_DON_MED3_OSTXT_DON_OLD,0.0
OTHER_INF_DON,0.0
OTHER_INF_CONF_DON,0.0
OTHER_INF_OSTXT_DON,0.0
PRETREAT_MED_DON_OLD,0.0
PT_DIURETICS_DON,0.0
PT_OTH1_OSTXT_DON,0.0
PT_OTH2_OSTXT_DON,0.0
PT_OTH3_OSTXT_DON,0.0
PT_OTH4_OSTXT_DON,0.0
PT_STEROIDS_DON,0.0
PT_T3_DON,0.0
PT_T4_DON,0.0
PULM_INF_DON,0.0
PULM_INF_CONF_DON,0.0
SGOT_DON,0.0
SGPT_DON,0.0
TBILI_DON,0.0
URINE_INF_DON,0.0
URINE_INF_CONF_DON,0.0
VASODIL_DON,0.0
VDRL_DON,0.0
