REGION,STATE,status_3_m,status_6_m,status_1_y,status_3_y,WaitingTime
1,RI,99.6983039791,99.5969620725,99.4793122729,99.2836175566,257.038527692
1,MA,99.6983039791,99.5969620725,99.4793122729,99.2836175566,257.038527692
1,CT,99.6983039791,99.5969620725,99.4793122729,99.2836175566,257.038527692
1,ME,99.6983039791,99.5969620725,99.4793122729,99.2836175566,257.038527692
1,NH,99.6983039791,99.5969620725,99.4793122729,99.2836175566,257.038527692
1,VT,99.6983039791,99.5969620725,99.4793122729,99.2836175566,257.038527692
2,DE,98.9958997298,98.6313018358,98.1280868512,97.1694157115,207.228607669
2,DC,98.9958997298,98.6313018358,98.1280868512,97.1694157115,207.228607669
2,MD,98.9958997298,98.6313018358,98.1280868512,97.1694157115,207.228607669
2,NJ,98.9958997298,98.6313018358,98.1280868512,97.1694157115,207.228607669
2,PA,98.9958997298,98.6313018358,98.1280868512,97.1694157115,207.228607669
2,WV,98.9958997298,98.6313018358,98.1280868512,97.1694157115,207.228607669
3,FL,98.7198303979,98.3354300624,97.7460162147,96.5776721648,121.850286769
3,GA,98.7198303979,98.3354300624,97.7460162147,96.5776721648,121.850286769
3,AR,98.7198303979,98.3354300624,97.7460162147,96.5776721648,121.850286769
3,AL,98.7198303979,98.3354300624,97.7460162147,96.5776721648,121.850286769
3,MS,98.7198303979,98.3354300624,97.7460162147,96.5776721648,121.850286769
3,LA,98.7198303979,98.3354300624,97.7460162147,96.5776721648,121.850286769
4,TX,99.3989376573,99.203242941,98.9493057497,98.3004845774,248.836021505
4,OK,99.3989376573,99.203242941,98.9493057497,98.3004845774,248.836021505
5,CA,98.9819215357,98.6709067189,98.2107911658,97.3429782872,299.653452794
5,NM,98.9819215357,98.6709067189,98.2107911658,97.3429782872,299.653452794
5,NV,98.9819215357,98.6709067189,98.2107911658,97.3429782872,299.653452794
5,AZ,98.9819215357,98.6709067189,98.2107911658,97.3429782872,299.653452794
5,UT,98.9819215357,98.6709067189,98.2107911658,97.3429782872,299.653452794
6,OR,99.8310968223,99.7518870562,99.6878203336,99.5165874569,221.588235294
6,WA,99.8310968223,99.7518870562,99.6878203336,99.5165874569,221.588235294
6,ID,99.8310968223,99.7518870562,99.6878203336,99.5165874569,221.588235294
6,MT,99.8310968223,99.7518870562,99.6878203336,99.5165874569,221.588235294
6,HI,99.8310968223,99.7518870562,99.6878203336,99.5165874569,221.588235294
6,AK,99.8310968223,99.7518870562,99.6878203336,99.5165874569,221.588235294
7,MN,99.2871121051,99.0681203988,98.7629298295,98.1548783897,210.181088825
7,IL,99.2871121051,99.0681203988,98.7629298295,98.1548783897,210.181088825
7,WI,99.2871121051,99.0681203988,98.7629298295,98.1548783897,210.181088825
7,SD,99.2871121051,99.0681203988,98.7629298295,98.1548783897,210.181088825
7,ND,99.2871121051,99.0681203988,98.7629298295,98.1548783897,210.181088825
8,CO,99.5212468549,99.3756406672,99.1624732085,98.7396328394,220.137521515
8,NE,99.5212468549,99.3756406672,99.1624732085,98.7396328394,220.137521515
8,MO,99.5212468549,99.3756406672,99.1624732085,98.7396328394,220.137521515
8,IA,99.5212468549,99.3756406672,99.1624732085,98.7396328394,220.137521515
8,KS,99.5212468549,99.3756406672,99.1624732085,98.7396328394,220.137521515
8,WY,99.5212468549,99.3756406672,99.1624732085,98.7396328394,220.137521515
9,NY,99.2300344795,99.0448234088,98.757105582,98.1607026372,257.45160161
10,IN,99.2812878576,99.0925822384,98.7838971205,98.1641971857,162.399386738
10,OH,99.2812878576,99.0925822384,98.7838971205,98.1641971857,162.399386738
10,MI,99.2812878576,99.0925822384,98.7838971205,98.1641971857,162.399386738
11,NC,99.1741217035,98.9364924052,98.6406206318,97.8962818004,171.378998531
11,KY,99.1741217035,98.9364924052,98.6406206318,97.8962818004,171.378998531
11,TN,99.1741217035,98.9364924052,98.6406206318,97.8962818004,171.378998531
11,SC,99.1741217035,98.9364924052,98.6406206318,97.8962818004,171.378998531
11,VA,99.1741217035,98.9364924052,98.6406206318,97.8962818004,171.378998531
